First Name	Last Name	Team ID	Age	Date
Adrian	Myers	499	19	1976-01-16
Tom	Hanson	470	58	1998-03-24
Christopher	Carpenter	91	71	2023-10-02
Dorothy	Murillo	233	79	1997-08-30
Scott	Galloway	247	38	1968-03-06
Edward	Morales	383	34	2022-10-30
Juan	Graves	358	55	2019-07-03
Ann	Snyder	131	42	2011-11-17
David	Chambers	402	72	1972-01-02
Mikayla	Flores	86	76	1984-11-01
Robert	Campbell	270	61	2008-01-15
Lauren	Lewis	494	40	1966-09-10
Patricia	Sandoval	403	53	1958-10-22
Misty	Fernandez	391	80	1997-07-06
Donald	Taylor	140	80	1956-04-16
Aaron	Dean	247	74	2009-01-20
Christopher	Gilbert	159	38	1968-01-23
Felicia	Bullock	264	47	2011-11-29
Deborah	Walton	81	68	2020-01-03
William	Miller	178	50	1971-01-13
Anthony	Cline	82	35	1997-09-04
Tony	Silva	313	42	2012-09-29
Dawn	Swanson	227	60	2001-08-04
Chloe	Glass	87	60	2019-07-10
Felicia	Becker	338	23	1946-08-06
Alyssa	Knox	486	61	1963-03-30
Phillip	Meadows	135	80	1980-04-03
Anna	Jones	361	70	1951-11-23
Tamara	Gordon	322	78	2011-11-25
Robert	Harris	359	38	1947-01-03
Rodney	Hart	260	23	1962-03-05
Terri	Acosta	117	37	2001-01-23
Ashlee	Webb	404	66	1952-03-05
Denise	Williams	467	55	1974-03-19
Denise	Cline	391	67	1965-10-20
Shannon	Hendricks	224	74	1996-11-20
Adrienne	Arias	423	26	1966-11-17
Renee	Jones	403	37	1986-01-20
Michael	Glenn	414	77	1980-04-09
Jennifer	Santiago	334	43	1962-06-01
Melinda	Pope	83	28	1970-08-08
Angela	Barker	3	68	1949-11-02
Jessica	Morris	270	20	1950-08-26
Sean	Flores	141	51	1961-09-15
Joseph	Tanner	208	46	1984-05-21
Maria	Matthews	298	52	2018-05-16
Jenny	Swanson	382	41	1959-09-12
Clayton	Hobbs	475	41	1992-02-13
Tracy	Martin	465	42	2012-05-01
Jeffrey	Gould	141	50	2015-03-21
Julie	Allen	167	46	2018-09-02
Sheila	Hall	32	73	1974-01-27
Dennis	Morales	293	67	2023-11-20
Jessica	Oliver	335	57	1985-05-19
Jamie	Fields	140	25	2007-09-18
Jack	Rodriguez	364	24	1947-03-03
Jordan	Carr	146	50	1975-03-04
Matthew	Mccormick	470	52	1984-07-08
Norma	Cook	282	18	1993-06-17
Alexandra	Walker	339	61	1960-02-25
Scott	Thompson	172	54	2023-07-16
Emily	Cochran	376	24	1959-09-21
Eric	Hebert	174	46	1957-09-09
Michael	Warren	143	45	1982-11-16
Brandi	Lee	394	21	2023-05-08
Michael	Alexander	435	59	2017-01-05
Caitlin	Bishop	17	35	1984-04-16
Bryan	Rogers	177	37	2002-01-01
Kelly	Dunn	189	46	2001-05-15
Marc	Lozano	243	49	1958-02-02
Angela	Jones	324	25	1974-08-28
Amy	Daniels	205	66	1994-01-25
Melissa	Mccarty	105	39	1986-07-14
Lisa	Martinez	141	71	1966-06-23
Bernard	Obrien	218	59	1987-11-10
Deborah	Adams	268	32	1954-04-29
Amanda	Burgess	151	76	2015-02-27
Michael	Calderon	287	69	1962-02-18
Calvin	Bray	203	38	2009-07-16
Benjamin	Martinez	454	33	1970-11-01
Angelica	Caldwell	457	24	1970-09-04
Sandra	Byrd	83	44	1996-08-02
Jonathan	Clark	277	59	2019-05-24
Sean	Martin	381	30	2020-05-29
Kenneth	Miller	297	63	1979-05-26
Lawrence	Shelton	375	27	1989-10-22
Matthew	Zavala	262	78	1951-01-23
Jacob	Noble	422	50	2008-04-17
Michele	Ramirez	70	22	2022-05-19
John	Schaefer	302	41	1970-01-06
Deborah	Brown	22	43	1959-11-18
Mary	Coleman	372	20	1988-08-08
John	Schaefer	401	42	1990-11-19
Douglas	Porter	292	73	2016-05-24
Jessica	Brewer	286	74	2020-07-16
Sheryl	Brown	135	62	1950-05-21
Sonya	Byrd	287	67	2000-07-27
Stephen	Lopez	115	57	1962-08-10
Molly	Jones	272	57	1997-11-15
John	May	392	54	1976-09-28
Ernest	Bates	490	52	1963-03-11
Anthony	King	283	37	2009-08-08
Rachel	Downs	134	69	1993-05-29
Anthony	Blake	291	79	1956-04-04
Thomas	Tucker	483	75	2020-07-22
Carlos	Jones	429	44	1946-01-16
Daniel	Cowan	47	49	2023-02-22
Alicia	Henderson	456	64	1997-05-02
Scott	Lucas	211	41	1996-04-19
Stacey	Perkins	102	43	1973-08-20
Theresa	Hicks	370	44	1981-03-19
Holly	Francis	239	23	1949-11-06
Amber	Kirk	481	54	2000-11-07
Elizabeth	Mcdonald	317	26	2016-06-01
Helen	Terry	164	31	1982-09-15
Alicia	Thompson	327	55	1971-02-14
Rodney	Bailey	287	69	1973-06-06
Tyrone	Reeves	10	77	2022-02-16
Michelle	Hernandez	298	63	1949-02-15
Beverly	Schwartz	201	40	1998-11-17
Michael	Mendoza	162	78	2001-02-01
Brooke	Davila	114	18	2010-08-08
David	Rogers	247	23	1993-07-30
Michael	Berry	168	49	2020-11-20
Alex	Ward	3	63	2000-01-12
Douglas	Ramsey	222	35	1961-04-23
Tony	Patel	302	61	1965-06-08
Sharon	Dixon	360	19	1969-09-14
Brenda	Chavez	111	57	2020-09-22
Chelsea	Wagner	299	70	1993-08-14
Tammy	Merritt	170	71	2019-04-08
Jennifer	Shields	47	49	1998-05-30
Roger	Carter	333	61	1980-01-09
Jill	Smith	385	77	2003-11-04
David	Guzman	252	79	2014-11-06
Carol	Lopez	112	22	1966-01-10
Andrea	Lewis	266	30	1992-10-30
Jasmine	Rodriguez	308	25	2020-03-15
Jennifer	Oliver	47	42	1994-08-12
Steve	Garcia	109	50	1949-03-23
Mackenzie	Ross	203	44	2001-06-05
Michael	Hernandez	197	70	1990-06-26
Grant	Todd	260	64	2005-08-22
Tracey	Griffin	202	21	1959-05-26
John	Horn	322	27	1961-02-15
Mark	Hebert	269	38	1976-09-19
Lori	Jordan	1	26	1992-04-10
Sandra	Powell	295	80	1998-04-03
Angela	Tucker	492	57	1947-09-15
Alexander	Anderson	190	57	1968-04-09
Jonathan	Daniel	72	47	1950-10-21
Miranda	Rodriguez	230	74	1999-10-07
Richard	Gill	188	20	1982-03-30
Leslie	Caldwell	450	49	1979-10-30
Erica	Carter	349	27	2000-11-25
Glen	Buchanan	227	63	1955-01-20
Regina	Garcia	428	75	2019-07-14
Samantha	Terry	484	47	1978-03-01
Kim	Gross	109	23	1955-09-25
Richard	Rodriguez	484	73	1995-09-30
Richard	Holland	67	43	1963-05-07
Scott	Medina	186	63	1993-11-08
Gregory	Simon	432	58	1971-05-23
Christina	Campbell	27	39	2016-09-21
David	Gilmore	119	38	1960-03-01
Veronica	White	119	18	1958-03-14
Lindsey	Hayes	1	19	1983-09-23
Lauren	Clark	51	44	1977-07-13
Tyler	Williams	85	25	2013-02-21
Ryan	Davis	231	65	1987-08-18
Debra	Rogers	293	31	1982-09-08
Emily	Johnson	321	60	1969-06-16
Daisy	Collins	320	19	2008-11-28
Joseph	Morgan	138	80	1967-01-26
Angela	Johnson	160	40	1991-10-03
Angelica	Jones	102	52	2002-10-13
Lauren	Smith	213	77	1952-02-12
Lori	Adams	360	21	1958-04-12
Crystal	Garrett	450	25	1957-03-15
Anthony	Thompson	496	19	2014-04-10
Joseph	Torres	217	52	2001-11-07
Roger	Rubio	436	69	1965-02-11
Christian	Mcneil	346	39	1985-02-18
John	Curtis	101	46	1990-10-27
Deborah	Smith	72	24	1995-09-07
James	Marquez	115	35	2003-03-22
Lauren	Wheeler	424	29	1965-04-27
Adrienne	Brown	55	58	2018-02-10
Melissa	Caldwell	18	51	1979-02-05
Rachel	Odom	128	59	2014-10-11
Melanie	Duke	232	67	1963-10-31
Rodney	Smith	436	46	2022-11-28
Paul	Golden	239	73	2017-10-21
Albert	Kemp	264	67	2001-03-19
Christian	Gonzalez	142	47	2006-07-19
Danielle	Blair	447	42	2001-09-22
Juan	Wilson	439	76	1956-03-25
Abigail	Powell	253	66	2014-09-13
Paul	Hart	135	45	1952-03-29
Jean	Powell	80	38	1963-09-11
Karen	Woodward	172	55	1986-11-15
Timothy	Duran	109	55	1957-03-20
Matthew	Preston	40	18	2017-11-08
Mackenzie	Jones	346	46	1991-10-26
Ashley	Payne	153	57	1968-06-25
Ashley	Carey	495	65	1989-05-29
Timothy	Phillips	381	51	1984-02-20
Richard	Mullen	306	65	2022-07-03
Shawn	Shah	394	33	1980-04-11
Cheryl	Munoz	352	64	1987-04-17
Amy	Roberts	245	76	1992-07-04
Andre	Chang	11	25	1992-04-07
Cathy	Stout	323	80	2022-02-02
Scott	Campbell	171	53	1998-07-21
Jessica	Wood	139	48	1964-03-30
Jeremy	Shah	127	32	1998-04-18
Patricia	Smith	374	20	1988-02-03
Kimberly	Riggs	361	57	2006-03-05
Kimberly	Rosales	93	19	2002-03-30
Janet	Lopez	350	75	1996-01-25
Becky	Ramsey	268	80	1947-06-12
Lawrence	Roth	231	73	1984-03-15
James	Hernandez	291	23	1948-03-05
John	Williams	379	38	2005-07-19
Sarah	Williams	307	35	1977-10-29
Danielle	Lee	204	24	2021-10-12
Nicholas	Smith	449	66	1998-07-27
Andrew	Norman	390	47	2021-06-14
Ashley	Mcintyre	456	40	2011-11-07
Jerry	Dunn	10	70	2015-02-27
Monique	Turner	66	50	1992-01-05
Emily	Hunter	116	72	1949-06-11
Richard	Barton	328	73	2003-07-22
Jennifer	Martin	469	57	2001-07-04
Jessica	Hudson	1	73	2014-09-12
Mark	Cox	138	63	1977-09-18
Carlos	Velazquez	201	28	2002-10-06
Crystal	Garrison	278	23	1999-09-14
Ryan	Stone	199	21	1973-08-27
Emily	Hayes	192	51	1997-02-12
Christian	Reid	48	19	1986-09-26
Kimberly	Miller	97	30	2020-10-16
Angela	Hayden	285	20	1947-08-29
Scott	Gomez	78	18	1975-06-10
Jennifer	Boone	349	69	1975-01-26
Shane	Dickson	276	26	2022-05-24
Michael	Hernandez	54	33	1957-03-30
Jonathan	Long	41	68	1987-10-09
Barry	Montes	166	47	1991-09-22
Joshua	Willis	129	26	1975-01-09
Nicholas	Hill	383	33	1961-06-24
Joshua	Dunn	343	33	2019-10-07
Tony	Barr	488	47	1961-08-23
Michael	Fowler	146	32	1967-06-05
Glen	Trujillo	488	32	1990-09-05
Lisa	Craig	278	63	1958-09-25
Roberto	Jordan	314	40	2014-08-18
Diane	Carlson	409	31	2020-03-21
Duane	Brooks	153	62	1956-04-11
Pamela	Frazier	399	28	2020-09-14
Curtis	Alvarez	9	45	1999-08-23
Julie	James	3	50	1981-02-18
Dawn	Acosta	180	42	1965-10-27
Brandon	Chang	126	20	1984-10-22
Brandon	Wilson	379	70	1966-05-05
Patricia	Colon	347	67	2015-11-23
Jacqueline	Hanson	138	58	2021-08-08
Samantha	Wade	379	80	2002-02-26
Krystal	Dillon	417	27	1984-07-02
Penny	Armstrong	117	22	2007-02-24
Holly	Campbell	92	70	1970-06-26
Greg	Miller	287	78	1960-05-26
Dawn	Chandler	36	77	1980-10-26
Paula	Mendoza	415	59	2021-01-24
Ralph	Smith	90	60	1967-10-14
Jordan	Weaver	206	19	1999-05-04
Matthew	Farmer	284	43	1979-07-24
April	Patterson	389	77	1992-07-11
Henry	Calhoun	480	40	1991-10-27
Joseph	Daugherty	111	78	1962-01-22
Sarah	Wilson	437	24	1979-02-22
Cynthia	Hansen	388	39	1947-06-24
Robert	Acevedo	423	47	1953-08-16
Shelly	Vega	442	35	1953-02-02
Jason	Wallace	35	19	2005-01-11
Samantha	Young	44	56	1960-07-14
Rachel	Reed	462	27	2023-10-27
Corey	Burnett	420	67	1984-07-03
Allison	Lucero	74	65	2000-05-12
Maurice	Gray	280	32	2017-07-25
Christopher	Short	471	68	2007-06-18
Sheri	Martin	379	26	1999-09-23
Eric	Myers	394	35	2009-03-25
Amy	Hardy	209	41	1964-04-08
Nicholas	Garrison	184	19	1953-07-06
John	Freeman	224	64	1979-09-16
Christopher	Kim	214	64	1972-07-11
Jacob	Baker	452	38	1998-11-16
Henry	Hanson	143	60	2019-11-16
George	Williams	240	38	1974-04-10
Brett	Mueller	345	37	1955-08-01
Jason	Lee	390	44	1985-04-02
Andrea	West	249	25	2017-05-30
Crystal	Johnson	418	25	1984-05-29
Tanya	Cummings	188	48	1959-02-09
Christopher	Smith	113	43	1964-03-10
Tonya	Foster	366	51	1987-11-11
Casey	Curtis	455	80	2023-09-26
Elizabeth	Frost	12	53	1979-01-13
Carlos	Lee	3	79	1970-09-27
Felicia	Armstrong	405	20	2002-04-20
Jeremy	Castillo	75	33	1959-11-03
Elizabeth	Mckay	260	37	1994-03-06
Betty	Cole	29	38	2022-03-12
Edward	Robles	416	50	1947-03-20
James	Rios	206	64	1996-06-17
Ian	Morgan	28	32	1975-04-20
Ariana	Jones	156	60	2022-05-07
Kathryn	Moore	445	45	1963-04-25
Lee	Medina	401	72	1947-05-31
Jasmine	Reed	96	38	1985-10-19
Erika	Perry	53	41	1960-10-09
Victoria	Lawson	122	26	1987-10-26
Carol	Lee	29	22	1964-03-13
William	Brown	73	47	1997-05-19
Patty	Gross	407	29	1969-06-09
Connie	Washington	214	75	1948-06-01
Brian	Edwards	417	63	2016-10-01
Andrew	Griffin	361	25	2018-07-10
Cynthia	Cooper	354	44	1977-09-24
Mark	Ross	491	26	1978-09-02
Kristen	Wilson	243	33	1987-02-04
Adrienne	Powell	215	65	1990-09-14
Robert	Campbell	471	44	2017-04-20
Oscar	Medina	266	28	1951-09-30
Cheryl	Ashley	369	23	2005-03-22
Kimberly	Andersen	304	45	1990-09-30
Brian	Newton	429	34	1976-08-15
Amanda	Krause	77	74	1998-05-26
Diana	Villa	154	19	1951-01-05
Lauren	Torres	141	24	1971-04-05
Sarah	Fernandez	173	35	2009-02-25
Timothy	Wilson	161	45	1994-09-24
Jody	Smith	25	64	1970-07-27
Brenda	Adams	133	67	1999-06-28
Sarah	Olson	158	20	2011-11-13
Brent	Carter	281	24	2015-07-12
Tammy	Clark	386	24	1962-03-04
Rodney	Smith	383	56	1981-02-20
Ashley	Cole	114	36	1996-07-12
Julie	Reyes	278	36	1976-04-07
Kevin	Oconnor	269	45	2011-09-30
Megan	Ford	128	29	1998-04-29
Laura	Weaver	269	65	1950-04-23
Laura	Pope	481	46	1954-04-16
Lori	Austin	2	23	1953-03-05
Kelly	Gonzales	423	73	1960-01-25
Timothy	Mcintyre	229	63	1961-02-17
Pamela	Watts	42	25	1946-06-05
Hunter	Perez	108	29	1979-03-19
Penny	Mendoza	50	43	2015-05-02
Sarah	Moore	28	47	2008-03-25
Adrian	Brown	418	80	1961-08-28
Tyler	Jensen	103	25	1986-05-17
Austin	Humphrey	183	60	2005-11-20
Christopher	Brown	295	33	1954-04-14
Janet	Mack	167	58	1993-05-30
Victoria	Jenkins	431	69	1978-01-11
Brittany	Rodriguez	402	39	1989-07-04
Jaclyn	Contreras	176	75	1959-09-17
Victor	Hale	190	28	1994-02-08
Tony	Logan	41	77	1999-05-14
Savannah	Lee	148	55	1957-09-19
Kyle	Grant	133	32	1972-07-23
Kevin	Rivera	500	67	1991-06-13
Elizabeth	Watson	365	18	1976-10-16
Sydney	Murray	472	63	1959-10-04
Mary	Smith	52	26	1968-05-08
Patrick	Phelps	176	52	2011-05-06
Mark	Cox	291	63	1984-03-17
Ronald	Hernandez	495	77	2019-07-03
Brian	Newman	101	28	1958-11-18
Karen	Gardner	118	75	2013-11-16
Cynthia	Hawkins	366	41	1974-02-11
Jennifer	Sandoval	268	77	1964-07-10
Edward	Wilson	159	74	2000-03-06
Richard	Nelson	19	70	2004-05-06
Meghan	Stephens	16	38	1980-03-28
Olivia	Ryan	449	26	1989-04-02
James	Wallace	471	27	2010-08-07
Natalie	Clarke	93	77	1965-03-28
James	Huerta	271	25	1987-04-14
Robert	Williams	307	24	1957-06-25
Patrick	Gardner	86	36	1981-09-21
Theresa	Wallace	285	37	1964-05-29
April	Morris	377	75	1955-06-07
Robert	Powell	174	24	1955-01-03
Jacqueline	Bell	261	57	1958-11-27
Jeffery	Chapman	223	38	1949-11-23
Angela	Jordan	413	46	2006-08-28
Stephanie	Miller	211	18	1957-04-06
Jessica	Miller	405	74	1957-05-17
Christina	Wagner	88	61	1961-06-13
Andrea	Hernandez	269	47	1949-03-02
Jason	Wilson	85	44	2002-10-04
Monique	Johnson	149	76	1998-02-20
James	Henderson	97	48	1946-10-21
Dominique	Castillo	23	71	1946-06-13
Beth	Chaney	59	22	2003-09-29
Christopher	Gross	383	68	2012-08-12
Nancy	Crawford	318	31	1969-07-22
Brittany	Lawrence	71	41	2007-10-15
Phillip	Barron	428	76	1955-08-09
Christian	Ware	461	35	1994-11-10
Brian	Hernandez	236	36	2011-05-16
Samantha	Thomas	478	79	1949-11-11
Jennifer	Mckinney	289	20	1987-08-31
Caitlin	Wyatt	260	59	1954-10-16
Brian	Thornton	268	35	1968-09-12
Lauren	Espinoza	352	76	1995-07-20
Jonathan	Baxter	316	76	1987-10-31
Jessica	Evans	18	60	1948-07-31
Paul	Frederick	51	26	1974-10-22
Amanda	Neal	267	72	2012-07-19
Isabel	Shea	250	44	1984-07-28
Gregory	Johnson	18	42	1980-08-11
Benjamin	Hull	333	79	1964-03-29
Brittany	Harris	410	27	2009-01-04
Virginia	Strickland	416	71	1951-03-07
Christopher	Clark	226	22	1992-09-24
Lindsay	Reid	436	54	1982-05-20
William	Smith	119	33	1961-04-28
Joseph	Myers	413	66	1989-05-29
Christopher	Nguyen	477	79	1996-07-03
Matthew	Kelly	245	55	1968-01-25
John	Strong	326	71	1956-11-09
Amanda	Massey	162	77	1957-04-29
Ashley	Mclaughlin	36	19	2005-10-15
Adam	Chang	387	78	1952-05-22
Tanya	Valenzuela	29	80	1959-08-25
Kenneth	Perez	281	66	1979-03-26
Kevin	Jacobson	165	59	2001-04-02
Ronald	Wood	412	34	2010-09-11
Jennifer	Thompson	185	21	1985-09-24
Isabella	Marshall	485	25	1963-06-15
Jennifer	Ramos	398	28	1981-05-21
Charlene	Perkins	10	25	2007-09-24
Matthew	Obrien	101	67	1999-09-21
Heather	Matthews	391	50	1965-11-20
Tiffany	Russell	214	42	1983-07-29
Regina	Wilcox	227	35	1967-08-05
Jason	Benson	412	30	2021-06-18
Jason	Thomas	89	33	1946-03-12
Monica	Medina	442	43	2005-10-19
Sarah	Miller	415	76	1977-01-29
Kimberly	Ho	260	47	1956-07-07
Julia	Flores	94	21	2019-06-05
Brianna	Gonzalez	403	31	2021-07-21
Cole	Marsh	292	41	1988-06-15
Madison	Cannon	494	65	1991-05-04
Raven	Bender	254	54	1991-06-26
Eric	Buckley	95	62	1972-01-01
Dustin	Burch	204	66	1959-01-27
Melanie	Warren	316	73	1992-10-12
Elizabeth	Goodman	308	43	2018-06-01
Darryl	White	233	71	1981-01-25
Travis	Moore	424	67	1990-11-01
Gabrielle	Hart	273	25	1984-05-30
Matthew	Braun	97	18	1996-07-09
Samantha	Watkins	229	59	1958-04-16
Amy	Hamilton	227	48	2018-11-12
Pamela	Murphy	310	63	1953-02-15
Frank	Murphy	141	29	2002-10-20
Kathleen	Sullivan	215	54	1965-10-06
Miguel	Parker	481	37	1988-10-25
Thomas	Collins	9	53	1981-07-04
Lisa	Clark	332	75	1994-03-14
Lisa	Lloyd	499	59	1952-01-28
Jeremy	Hernandez	375	50	2007-02-06
Barbara	Harris	448	61	2014-06-09
Tonya	Rangel	421	50	1952-07-05
Kimberly	Moore	32	32	1947-09-08
Joseph	Lopez	443	80	2020-02-23
Donald	Stanley	367	19	2005-05-20
Derek	Bell	402	50	1985-02-03
Lauren	Jones	47	70	1983-08-04
Katherine	Bradford	35	53	1999-02-04
Brittany	Trevino	477	55	1949-05-01
Stephanie	Oliver	347	80	1950-05-21
Melissa	Henry	205	58	2011-03-15
Andrew	Anderson	429	37	2012-05-06
Paul	Clark	263	69	1992-07-12
Sean	Williams	100	66	1972-11-09
Joe	Wilson	133	33	2011-01-13
Ruben	Osborne	68	76	1986-01-26
Scott	Aguilar	75	66	1977-11-29
Theresa	Garcia	450	39	1985-04-16
Shannon	Sosa	177	33	1947-06-10
Michelle	Stewart	49	40	1988-07-02
Michael	Zhang	338	75	2012-11-16
Alison	Mccoy	125	18	1980-06-27
Juan	Parks	210	52	2012-03-04
Juan	Perez	178	77	2003-03-01
Collin	Thompson	499	57	1949-05-11
Pamela	Jordan	232	28	1954-03-06
Roberto	Freeman	465	21	1999-03-01
Carl	Ramirez	103	58	2021-07-06
Benjamin	Ferguson	174	41	2018-03-13
David	Barajas	360	37	1996-05-12
Sara	Kramer	4	27	2020-06-28
Jason	Tucker	264	43	1948-08-26
Jason	Newman	484	68	2003-04-05
Matthew	Williams	181	35	2019-10-05
Mary	Russell	238	68	1982-01-07
Joseph	Rice	185	38	2006-04-09
Michael	Sims	380	35	1988-09-09
Anna	Owen	275	58	1998-07-15
Robert	Fleming	270	35	1957-04-07
Antonio	Miller	387	27	1951-03-13
Andrew	Harper	118	67	1981-02-04
Randy	Martinez	116	37	2017-07-31
Kristin	Young	483	41	2000-04-01
Christopher	Davis	381	25	1963-09-04
Mark	Watson	334	72	1981-04-10
Shane	Ramirez	200	27	1951-09-25
Christine	Wolfe	439	60	1954-02-07
John	Huff	11	38	1979-06-26
Alexis	Rodriguez	468	78	1983-10-21
Brittany	Leach	109	39	1978-09-07
Michael	Jackson	410	18	2012-06-16
Cameron	Thomas	430	30	2007-06-05
Jennifer	Deleon	451	43	1959-04-17
Corey	Goodman	463	21	2021-11-28
Natalie	Ruiz	293	33	1987-06-17
Julie	Michael	477	24	2013-11-28
Heather	Wilkins	219	74	2017-09-12
Matthew	Weber	117	64	1985-08-08
Steven	Martinez	26	52	2006-09-24
Catherine	Taylor	42	54	2008-07-05
Alexander	Webb	199	53	2007-02-11
Thomas	Chen	95	22	1956-04-21
Arthur	Carr	153	62	2017-04-23
Christine	Weaver	303	60	2020-08-04
Erin	Mendoza	30	53	1966-10-01
Jeanette	Olson	153	20	1977-06-10
Aaron	Savage	265	74	1974-05-05
Derek	Roach	401	71	2009-02-05
Christina	Jackson	85	21	1969-06-17
Dustin	Bolton	10	32	2018-06-23
Andrew	Johnson	499	57	2016-08-30
Michael	Johnston	344	70	2014-09-12
Samantha	Bryan	211	35	1955-04-08
Katie	Edwards	115	26	1998-05-11
Devin	Mcdowell	334	42	1960-05-25
Natalie	Harris	105	63	1960-03-30
Peggy	Walker	308	74	1954-09-25
Christopher	Peters	202	54	2023-04-24
Bradley	Clark	216	39	2011-02-11
Sandra	Caldwell	424	47	1948-10-24
Michael	Hebert	445	28	2007-09-07
Samantha	Blake	370	70	2015-09-09
Christian	Peterson	81	25	1972-08-21
Karen	Holloway	433	75	1957-07-29
Stacey	Dunlap	475	45	1996-06-15
Alexander	Norman	391	27	1972-06-07
Amanda	Rios	469	62	1984-06-08
Jacob	Brooks	77	70	1960-07-02
Robert	Hanson	71	65	1989-09-27
Sandra	Soto	86	44	2017-11-02
Crystal	Gray	122	44	1955-04-24
Holly	King	275	27	2003-08-15
Brandon	Strickland	273	79	2023-11-04
Ann	Pearson	401	33	1957-04-18
Jamie	Garcia	493	32	2003-01-05
Pamela	Ritter	260	64	2021-01-11
Kevin	Elliott	300	68	1986-03-08
Chris	Martin	234	75	1960-09-13
Michael	Wolf	433	40	2005-09-17
Jennifer	Noble	153	80	1946-05-05
Valerie	Anderson	280	79	1996-08-12
Ronald	Waller	357	20	1974-03-20
Amanda	Russo	320	48	1957-06-11
Marcia	Weaver	266	32	1994-04-01
Sandra	Walker	49	71	1995-08-16
Mario	Hansen	68	20	2009-07-05
Joseph	Raymond	443	54	1973-11-05
Darryl	Reed	292	18	1990-11-10
Paul	Henderson	326	57	1977-06-25
Virginia	Price	444	45	2010-03-27
Joseph	Rasmussen	241	48	2002-10-17
Brent	Long	223	63	2023-01-18
Danielle	Villarreal	202	59	2019-05-28
Travis	Mcbride	446	32	1948-06-28
Brandon	Brown	196	50	2003-01-23
Caitlyn	Vazquez	463	70	2011-05-20
Cheryl	Ford	258	33	1966-02-23
Stacy	Sullivan	73	33	1991-11-16
Jared	Schmitt	456	39	2017-01-28
Olivia	Brown	76	47	1960-07-06
Dawn	Jones	326	59	1950-09-13
Daniel	Morales	26	47	1975-07-15
Anna	Johnson	494	43	1967-05-12
Joseph	Thompson	350	79	2010-11-26
Cynthia	Hansen	18	53	1995-01-09
Ashley	Walker	333	35	1981-04-02
Lucas	Burton	387	36	2012-01-10
Gavin	Hensley	246	58	1950-02-15
Johnny	Smith	402	37	1963-06-22
Charles	Jones	472	26	1947-03-02
Lauren	Rogers	277	59	1958-11-01
Brian	Brown	145	52	1976-11-08
David	Nicholson	467	31	1988-11-20
